Disease,Fever,Cough,Shortness_of_breath,Headache,Fatigue,Body_aches,Sore_throat,Runny_nose,Nausea,Vomiting,Diarrhea,Preventive_Measures,Remedial_Measures
COVID-19,1,1,1,1,1,1,0,1,1,1,0,"Wear a mask, practice social distancing, get vaccinated, wash hands frequently.","Stay hydrated, rest, take fever reducers, follow medical advice, monitor oxygen levels."
Flu,1,1,0,1,1,1,0,1,1,1,0,"Get vaccinated, wash hands regularly, avoid close contact with sick people.","Take antiviral medications, stay hydrated, get enough rest."
Normal,0,0,0,0,0,0,0,0,0,0,0,"Maintain a healthy lifestyle, exercise regularly, eat a balanced diet.",No treatment needed for normal health.
Pneumonia,1,1,1,1,1,1,0,1,0,1,1,"Vaccination, good hygiene practices, avoid smoking.","Antibiotics, stay hydrated, rest, follow medical advice."
Bronchitis,1,1,1,0,1,1,0,1,1,0,0,"Avoid smoking, avoid exposure to pollutants, get a flu shot.","Use cough suppressants, stay hydrated, rest."
Cold,1,1,0,1,1,0,1,1,0,1,0,"Wash hands frequently, avoid close contact with infected individuals.","Rest, drink fluids, use over-the-counter cold medications."
Allergies,0,1,0,0,1,0,1,1,0,0,0,"Avoid allergens, use air purifiers, keep windows closed during allergy season.","Antihistamines, nasal sprays, avoid exposure to allergens."
Strep Throat,1,1,0,1,1,0,1,0,0,0,0,"Avoid close contact with infected individuals, wash hands frequently.","Antibiotics, rest, stay hydrated."
Gastroenteritis,1,0,0,1,1,0,0,1,1,1,1,"Wash hands frequently, avoid contaminated food or water.","Stay hydrated, use electrolyte solutions, take anti-nausea medications."
Sinusitis,0,1,0,1,0,0,1,1,0,1,0,"Avoid allergens, use air purifiers, stay hydrated.","Decongestants, pain relievers, warm compresses."
Asthma,1,1,1,0,1,1,0,0,0,1,0,"Avoid asthma triggers, use inhalers, get regular exercise.","Use rescue inhalers, avoid allergens, stay hydrated."
Tuberculosis,1,1,1,0,1,1,0,1,0,0,0,"Get vaccinated, avoid close contact with infected individuals.","Antibiotics, isolation, medical supervision."
Seasonal Allergies,0,1,0,0,1,0,1,1,0,0,0,"Avoid allergens, use air purifiers, take antihistamines.","Nasal sprays, decongestants, avoid exposure to allergens."
Sinus Infection,1,1,0,1,0,0,1,1,0,1,0,"Avoid allergens, use humidifiers, stay hydrated.","Decongestants, antibiotics, nasal sprays."
Meningitis,1,1,1,1,1,1,1,1,0,1,1,"Get vaccinated (meningitis vaccine), practice good hygiene.","Antibiotics, pain relievers, rest."
Tonsillitis,1,1,0,1,1,0,1,0,0,0,0,"Avoid close contact with infected individuals, wash hands frequently.","Antibiotics, pain relievers, rest."
Food Poisoning,1,0,0,0,1,1,0,1,1,1,1,"Avoid contaminated food and water, wash hands regularly.","Stay hydrated, use electrolyte solutions, avoid solid foods until symptoms subside."
Dengue,1,1,1,0,1,1,0,0,1,0,1,"Avoid mosquito bites, use insect repellent, eliminate mosquito breeding sites.","Rest, stay hydrated, use pain relievers for fever and body aches."
Malaria,1,1,1,1,1,1,0,0,1,0,1,"Use mosquito nets, take antimalarial drugs, avoid mosquito bites.","Antimalarial medication, rest, stay hydrated."
Typhoid,1,1,0,1,1,0,1,0,1,1,1,"Vaccination, drink clean water, avoid unclean food.","Antibiotics, stay hydrated, rest."
RSV,1,1,1,0,1,1,0,1,0,1,0,"Wash hands frequently, avoid close contact with infected individuals.","Rest, stay hydrated, use inhalers for breathing difficulties."
Whooping Cough,1,1,0,1,1,0,1,0,0,1,0,"Get vaccinated, wash hands regularly.","Antibiotics, rest, stay hydrated."
COVID-19 Variant,1,1,1,1,1,1,0,1,1,1,0,"Wear a mask, practice social distancing, get vaccinated.","Stay hydrated, rest, take fever reducers, monitor oxygen levels."
Swine Flu,1,1,0,1,1,1,0,1,0,1,0,"Get vaccinated, wash hands frequently.","Rest, stay hydrated, use antiviral medications."
Measles,1,1,0,1,1,1,1,1,0,1,0,"Get vaccinated (MMR vaccine), avoid exposure to infected individuals.","Rest, stay hydrated, use fever-reducing medications."
